"Corvina, Rondinella, Molinara"	avg=47.78313253012048, count=498
Abouriou	avg=47.77555110220441, count=998
Agiorgitiko	avg=46.79628443305573, count=1561
Aglianico	avg=45.430521091811414, count=2418
Aidani	avg=44.77411477411477, count=3276
Airen	avg=44.364515349286926, count=4137
Albana	avg=44.01793900737493, count=5017
Albanello	avg=43.77076975245846, count=5898
Albariño	avg=42.13111815800359, count=7253
Albarossa	avg=41.007433217189316, count=8610
Aleatico	avg=40.18954969411293, count=9971
Alfrocheiro	avg=39.54978850898837, count=11348
Alicante	avg=39.04218381775334, count=12730
Alicante Bouschet	avg=38.60911016949152, count=14160
Aligoté	avg=38.22094884435623, count=15619
Alsace white blend	avg=37.87528463829042, count=17127
Altesse	avg=37.57710668883763, count=18643
Alvarelhão	avg=37.3221566390556, count=20161
Alvarinho	avg=37.008396421197524, count=21795
Alvarinho-Chardonnay	avg=36.734050270985364, count=23433
Ansonica	avg=36.49471543094165, count=25073
Antão Vaz	avg=36.274261129816686, count=26730
Apple	avg=36.07904470041213, count=28389
Aragonez	avg=35.902908098755574, count=30054
Aragonês	avg=35.74390090146883, count=31726
Argaman	avg=35.601269423071166, count=33401
Arinto	avg=35.435433384554095, count=35142
Arneis	avg=35.253821388956524, count=36963
Asprinio	avg=35.088745649091145, count=38785
Assyrtico	avg=34.926420664206645, count=40650
Assyrtiko	avg=34.77330543342816, count=42533
Athiri	avg=34.63279825292118, count=44417
Austrian Red Blend	avg=34.504497896667026, count=46355
Austrian white blend	avg=34.38403474304622, count=48355
Auxerrois	avg=34.26769621660249, count=50378
Avesso	avg=34.158299463812085, count=52407
Azal	avg=34.055934164845056, count=54439
Babić	avg=33.96100929614874, count=56475
Babosa Negro	avg=33.87288077659284, count=58512
Baco Noir	avg=33.78855774787419, count=60565
Baga	avg=33.71086279830793, count=62645
Baga-Touriga Nacional	avg=33.63835802678944, count=64727
Barbera	avg=33.50200219499896, count=67426
Barbera-Nebbiolo	avg=33.37609445854604, count=70126
Bastardo	avg=33.25917229636953, count=72828
Biancale	avg=33.150415061365536, count=75531
Biancolella	avg=33.04908289128907, count=78235
Bical	avg=32.95189682647528, count=80951
Black Monukka	avg=32.86083256642245, count=83669
Black Muscat	avg=32.77408041852821, count=86398
Blanc du Bois	avg=32.692257637463115, count=89133
Blatina	avg=32.61508234551372, count=91869
Blauburger	avg=32.5422066253726, count=94606
Blauburgunder	avg=32.473290598290596, count=97344
Blauer Portugieser	avg=32.40780744174893, count=100084
Blaufränkisch	avg=32.344831602445886, count=103030
Bobal	avg=32.283021537939035, count=105999
Bobal-Cabernet Sauvignon	avg=32.22436656296745, count=108969
Bombino Bianco	avg=32.16880471681258, count=111940
Bombino Nero	avg=32.11593219159008, count=114912
Bonarda	avg=32.05198789717686, count=117989
Bordeaux-style Red Blend	avg=32.63434199596535, count=126405
Bordeaux-style White Blend	avg=33.15207798341155, count=135516
Bovale	avg=33.604483132938306, count=144631
Boğazkere	avg=34.00303089430894, count=153750
Brachetto	avg=34.355424719432236, count=162884
Braucol	avg=34.67017201188213, count=172023
Bual	avg=34.95531771615296, count=181168
Cabernet	avg=35.212187765996575, count=190322
Cabernet Blend	avg=35.451617591052134, count=199556
Cabernet Franc	avg=35.66469454294486, count=210095
Cabernet Franc-Cabernet Sauvignon	avg=35.85693114403419, count=220649
Cabernet Franc-Carmenère	avg=36.03140935533401, count=231205
Cabernet Franc-Lemberger	avg=36.19051715936682, count=241763
Cabernet Franc-Malbec	avg=36.3366610522144, count=252325
Cabernet Franc-Merlot	avg=36.47171031361138, count=262905
Cabernet Merlot	avg=36.595325845325846, count=273504
Cabernet Moravia	avg=36.70958624452227, count=284105
Cabernet Pfeffer	avg=36.815580167487816, count=294708
Cabernet Sauvignon	avg=37.24306237428384, count=314697
Cabernet Sauvignon Grenache	avg=37.61936788889951, count=334688
Cabernet Sauvignon-Barbera	avg=37.95327337318146, count=354680
Cabernet Sauvignon-Cabernet Franc	avg=38.25184350921955, count=374693
Cabernet Sauvignon-Carmenère	avg=38.51876903122514, count=394746
Cabernet Sauvignon-Malbec	avg=38.75987724707522, count=414817
Cabernet Sauvignon-Merlot	avg=38.9755841325597, count=435004
Cabernet Sauvignon-Merlot-Shiraz	avg=39.172010175881056, count=455194
Cabernet Sauvignon-Sangiovese	avg=39.35176517855828, count=475391
Cabernet Sauvignon-Shiraz	avg=39.516397908040965, count=495612
Cabernet Sauvignon-Syrah	avg=39.66735344568599, count=515935
Cabernet Sauvignon-Tempranillo	avg=39.806165889388424, count=536273
Cabernet-Malbec	avg=39.934782218133996, count=556612
Cabernet-Shiraz	avg=40.05448104091668, count=576953
Cabernet-Syrah	avg=40.165755910705734, count=597306
Canaiolo	avg=40.26969928536967, count=617662
Cannonau	avg=40.3663466270457, count=638046
Caprettone	avg=40.456977268688746, count=658431
Carcajolu	avg=40.542135803905914, count=678817
Carignan	avg=40.6229221484956, count=699280
Carignan-Grenache	avg=40.698975480443266, count=719752
Carignan-Syrah	avg=40.77089595488951, count=740227
Carignane	avg=40.83842646086462, count=760731
Carignano	avg=40.9023384349932, count=781249
Carineña	avg=40.96286226009389, count=801772
Cariñena-Garnacha	avg=41.020340582538914, count=822297
Carmenère	avg=41.061875362377265, count=843389
Carmenère-Cabernet Sauvignon	avg=41.10127034730384, count=864488
Carmenère-Syrah	avg=41.1386447965998, count=885594
Carricante	avg=41.17424788003578, count=906737
Casavecchia	avg=41.20825641108542, count=927885
Castelão	avg=41.23991507430998, count=949065
Catalanesca	avg=41.27016859641782, count=970246
Catarratto	avg=41.29859640204468, count=991452
Cayuga	avg=41.32578357987874, count=1012660
